wonderId,resourceId,amount,deliveryRate
great_library,construction_power,300,5
great_library,stone,200,3.3333333333
great_library,paper,100,1.6666666667
great_library,tools,50,0.8333333333
celestial_observatory,construction_power,900,15
celestial_observatory,stone,300,5
celestial_observatory,glass,150,2.5
celestial_observatory,tools,100,1.6666666667
world_knowledge_network,construction_power,5000,83.3333333333
world_knowledge_network,copper,600,10
world_knowledge_network,glass,400,6.6666666667
world_knowledge_network,machine_parts,350,5.8333333333
world_knowledge_network,plastic,500,8.3333333333
grand_canal,construction_power,450,7.5
grand_canal,stone,250,4.1666666667
grand_canal,wood,300,5
grand_canal,tools,100,1.6666666667
continental_railway,construction_power,2000,33.3333333333
continental_railway,iron,500,8.3333333333
continental_railway,coal,500,8.3333333333
continental_railway,machine_parts,250,4.1666666667
continental_railway,tools,200,3.3333333333
orbital_elevator,construction_power,12000,200
orbital_elevator,concrete,2000,33.3333333333
orbital_elevator,machine_parts,1000,16.6666666667
orbital_elevator,glass,600,10
orbital_elevator,uranium,200,3.3333333333
great_civic_square,construction_power,350,5.8333333333
great_civic_square,stone,300,5
great_civic_square,wood,150,2.5
peoples_parliament,construction_power,3000,50
peoples_parliament,concrete,800,13.3333333333
peoples_parliament,glass,300,5
peoples_parliament,paper,500,8.3333333333
world_welfare_agency,construction_power,4500,75
world_welfare_agency,concrete,700,11.6666666667
world_welfare_agency,medicine,600,10
world_welfare_agency,groceries,800,13.3333333333
world_welfare_agency,machine_parts,200,3.3333333333
world_market_arcade,construction_power,700,11.6666666667
world_market_arcade,wood,250,4.1666666667
world_market_arcade,stone,200,3.3333333333
world_market_arcade,furniture,100,1.6666666667
world_market_arcade,precious_metals,100,1.6666666667
civilization_museum,construction_power,2500,41.6666666667
civilization_museum,concrete,500,8.3333333333
civilization_museum,glass,250,4.1666666667
civilization_museum,paper,500,8.3333333333
civilization_museum,precious_metals,150,2.5
world_exposition,construction_power,2200,36.6666666667
world_exposition,iron,400,6.6666666667
world_exposition,glass,300,5
world_exposition,machine_parts,250,4.1666666667
world_exposition,furniture,200,3.3333333333
eternity_pyramid,construction_power,800,13.3333333333
eternity_pyramid,stone,800,13.3333333333
eternity_pyramid,food,400,6.6666666667
eternity_pyramid,precious_metals,100,1.6666666667
artificial_sun,construction_power,10000,166.6666666667
artificial_sun,uranium,1000,16.6666666667
artificial_sun,glass,700,11.6666666667
artificial_sun,machine_parts,800,13.3333333333
artificial_sun,concrete,1000,16.6666666667
civilization_ark,construction_power,15000,250
civilization_ark,groceries,2000,33.3333333333
civilization_ark,clothing,1000,16.6666666667
civilization_ark,medicine,1000,16.6666666667
civilization_ark,machine_parts,1000,16.6666666667
